Nível;Indicador;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Unidade
1;Abacate;;;;;;;;;;;;;;;
1.1;Quantidade produzida;240;240;240;96;456;662;693;1810;1710;1199;1068;1316;2335;2544;t
1.2;Valor da produção;180;180;180;67;358;634;686;2027;1461;1175;1115;1742;3730;4078;R$
1.3;Área destinada à colheita;15;15;15;12;72;90;50;239;350;278;271;277;317;406;ha
1.4;Área colhida;15;15;15;12;72;90;50;239;350;278;271;277;317;406;ha
1.5;Rendimento médio;16000;16000;16000;8000;6333;7356;13860;7573;4886;4313;3941;4751;7366;6266;kg/ha
2;Açaí;;;;;;;;;;;;;;;
2.1;Quantidade produzida;;;;;;;2931;504;1846;2023;3688;4995;4645;4530;t
2.2;Valor da produção;;;;;;;1834;1183;3127;3489;6929;9961;10319;31618;R$
2.3;Área destinada à colheita;;;;;;;593;146;1159;1229;1544;1674;1696;1676;ha
2.4;Área colhida;;;;;;;592;146;1159;1229;1544;1674;1696;1676;ha
2.5;Rendimento médio;;;;;;;4951;3452;1593;1646;2389;2984;2739;2703;kg/ha
3;Algodão arbóreo;;;;;;;;;;;;;;;
3.1;Caroço;;;;;;;;;;;;;;;
3.1.1;Quantidade produzida;;;;;;;;;;;;;;;t
3.1.2;Valor da produção;;;;;;;;;;;;;;;R$
3.1.3;Área destinada à colheita;;;;;;;;;;;;;;;ha
3.1.4;Área colhida;;;;;;;;;;;;;;;ha
3.1.5;Rendimento médio;;;;;;;;;;;;;;;kg/ha
4;Azeitona;;;;;;;;;;;;;;;
4.1;Quantidade produzida;;;;;;;;;;5;5;;5;;t
4.2;Valor da produção;;;;;;;;;;12;13;;25;;R$
4.3;Área destinada à colheita;;;;;;;;;;3;3;;3;;ha
4.4;Área colhida;;;;;;;;;;3;3;;3;;ha
4.5;Rendimento médio;;;;;;;;;;1667;1667;;1667;;kg/ha
5;Banana;;;;;;;;;;;;;;;
5.1;Cacho;;;;;;;;;;;;;;;
5.1.1;Quantidade produzida;1015505;1079050;1239650;1083346;1113930;1088647;1072085;980148;866591;830412;843391;785061;869088;830626;t
5.1.2;Valor da produção;597447;613374;777926;734725;797503;798387;887820;1291451;931809;832628;932001;1076922;1478865;1387701;R$
5.1.3;Área destinada à colheita;65487;66623;74965;72394;74077;72147;75971;68220;73080;66046;65545;64933;65574;65952;ha
5.1.4;Área colhida;65487;66623;74965;72379;73837;71704;71578;68099;72584;66036;65275;64912;65450;65825;ha
5.1.5;Rendimento médio;15506;16196;16536;14968;15086;15183;14978;14393;11939;12575;12921;12094;13279;12619;kg/ha
6;Borracha;;;;;;;;;;;;;;;
6.1;Látex coagulado;;;;;;;;;;;;;;;
6.1.1;Quantidade produzida;28818;31908;48663;47340;47475;48482;47650;40314;24027;23557;23493;22872;26463;23310;t
6.1.2;Valor da produção;42305;57714;120427;115570;127296;112782;98549;81909;50217;47740;60592;56574;114003;80310;R$
6.1.3;Área destinada à colheita;31786;31456;33040;32800;33293;33521;33595;33122;24962;23607;23628;23627;24311;23624;ha
6.1.4;Área colhida;31786;31456;33040;32800;33263;33521;33595;33122;24962;23607;23628;23627;24311;23624;ha
6.1.5;Rendimento médio;906;1014;1472;1443;1427;1446;1418;1217;963;998;994;968;1089;987;kg/ha
7;Cacau;;;;;;;;;;;;;;;
7.1;Amêndoa;;;;;;;;;;;;;;;
7.1.1;Quantidade produzida;137929;148254;156289;159432;152592;161096;158432;115756;106246;113939;113065;107499;137622;109748;t
7.1.2;Valor da produção;672910;781302;823412;805378;773474;873545;1310915;1108581;738120;994849;1151795;1314334;1820110;1389712;R$
7.1.3;Área destinada à colheita;549769;519990;533315;532074;532268;547722;539750;565145;422163;420528;413065;410676;423256;410785;ha
