Nível;Indicador;2009;Unidade
1;Estabelecimentos de Saúde;8188;estabelecimentos
1.1;Atendimento de emergência;583;estabelecimentos
1.1.1;Especialidade médica;;
1.1.1.1;Cirurgia bucomaxilofacial;41;estabelecimentos
1.1.1.2;Clínica médica;497;estabelecimentos
1.1.1.3;Neurocirurgia;30;estabelecimentos
1.1.1.4;Obstetrícia;336;estabelecimentos
1.1.1.5;Pediatria;348;estabelecimentos
1.1.1.6;Psiquiatria;69;estabelecimentos
1.1.1.7;Traumato-ortopedia;258;estabelecimentos
1.1.1.8;Outras especialidades cirúrgicas;140;estabelecimentos
1.1.1.9;Outros;44;estabelecimentos
1.2;Categoria do estabelecimento;;
1.2.1;Geral;;
1.2.1.1;Tipo de atendimento;;
1.2.1.1.1;Com internação;228;estabelecimentos
1.2.1.1.1.1;Esfera administrativa;;
1.2.1.1.1.1.1;Público;125;estabelecimentos
1.2.1.1.1.1.2;Privado;103;estabelecimentos
1.2.1.1.1.1.2.1;SUS;87;estabelecimentos
1.2.1.1.2;Sem internação;3930;estabelecimentos
1.2.1.1.2.1;Esfera administrativa;;
1.2.1.1.2.1.1;Público;3890;estabelecimentos
1.2.1.1.2.1.2;Privado;40;estabelecimentos
1.2.1.1.2.1.2.1;SUS;15;estabelecimentos
1.2.2;Com especialidades;;
1.2.2.1;Tipo de atendimento;;
1.2.2.1.1;Com internação;311;estabelecimentos
1.2.2.1.1.1;Esfera administrativa;;
1.2.2.1.1.1.1;Público;168;estabelecimentos
1.2.2.1.1.1.2;Privado;143;estabelecimentos
1.2.2.1.1.1.2.1;SUS;96;estabelecimentos
1.2.2.1.2;Sem internação;1620;estabelecimentos
1.2.2.1.2.1;Esfera administrativa;;
1.2.2.1.2.1.1;Público;440;estabelecimentos
1.2.2.1.2.1.2;Privado;1180;estabelecimentos
1.2.2.1.2.1.2.1;SUS;256;estabelecimentos
1.2.3;Especializado;;
1.2.3.1;Tipo de atendimento;;
1.2.3.1.1;Com internação;39;estabelecimentos
1.2.3.1.1.1;Esfera administrativa;;
1.2.3.1.1.1.1;Público;11;estabelecimentos
1.2.3.1.1.1.2;Privado;28;estabelecimentos
1.2.3.1.1.1.2.1;SUS;19;estabelecimentos
1.2.3.1.2;Sem internação;2060;estabelecimentos
1.2.3.1.2.1;Esfera administrativa;;
1.2.3.1.2.1.1;Público;146;estabelecimentos
1.2.3.1.2.1.2;Privado;1914;estabelecimentos
1.2.3.1.2.1.2.1;SUS;431;estabelecimentos
1.3;Esfera administrativa;;
1.3.1;Privado;3408;estabelecimentos
1.3.1.1;Com fins lucrativos;3242;estabelecimentos
1.3.1.2;Sem fins lucrativos;166;estabelecimentos
1.3.1.3;SUS;904;estabelecimentos
1.3.2;Público;4780;estabelecimentos
1.3.2.1;Federal;25;estabelecimentos
1.3.2.2;Estadual;69;estabelecimentos
1.3.2.3;Municipal;4686;estabelecimentos
1.4;Modalidade de prestação de serviço;;
1.4.1;Particular;3298;estabelecimentos
1.4.2;Plano de terceiros;2698;estabelecimentos
1.4.3;Plano próprio;100;estabelecimentos
1.4.4;SUS;5673;estabelecimentos
1.4.4.1;SUS Ambulatorial;4864;estabelecimentos
1.4.4.2;SUS Diálise;44;estabelecimentos
1.4.4.3;SUS Emergência;498;estabelecimentos
1.4.4.4;SUS Internação;489;estabelecimentos
1.4.4.5;SUS UTI/CTI;43;estabelecimentos
1.5;Tipo de atendimento;;
1.5.1;Com internação;578;estabelecimentos
1.5.1.1;Esfera administrativa;;
1.5.1.1.1;Público;304;estabelecimentos
1.5.1.1.2;Privado;274;estabelecimentos
1.5.1.1.2.1;SUS;202;estabelecimentos
1.5.2;Sem internação;6498;estabelecimentos
1.5.2.1;Esfera administrativa;;
1.5.2.1.1;Público;4379;estabelecimentos
1.5.2.1.2;Privado;2119;estabelecimentos
1.5.2.1.2.1;SUS;341;estabelecimentos
1.6;Tipo de especialidade;;
1.6.1;Atendimento ambulatorial;6760;estabelecimentos
1.6.1.1;Sem atendimento médico;822;estabelecimentos
1.6.1.2;Com especialidades médicas básicas;5159;estabelecimentos
1.6.1.3;Com outras especialidades médicas;1915;estabelecimentos
