"Posição","Nome","Localidade","2005","2009","Unidade","Multiplicador"
"1","Estabelecimentos de Saúde","Rondônia",,"720","estabelecimentos",1
"1","Estabelecimentos de Saúde","Acre",,"380","estabelecimentos",1
"1","Estabelecimentos de Saúde","Amazonas",,"1010","estabelecimentos",1
"1","Estabelecimentos de Saúde","Roraima",,"444","estabelecimentos",1
"1","Estabelecimentos de Saúde","Pará",,"2742","estabelecimentos",1
"1","Estabelecimentos de Saúde","Amapá",,"288","estabelecimentos",1
"1","Estabelecimentos de Saúde","Tocantins",,"721","estabelecimentos",1
"1","Estabelecimentos de Saúde","Maranhão",,"2621","estabelecimentos",1
"1","Estabelecimentos de Saúde","Piauí",,"2093","estabelecimentos",1
"1","Estabelecimentos de Saúde","Ceará",,"4038","estabelecimentos",1
"1","Estabelecimentos de Saúde","Rio Grande do Norte",,"1932","estabelecimentos",1
"1","Estabelecimentos de Saúde","Paraíba",,"2622","estabelecimentos",1
"1","Estabelecimentos de Saúde","Pernambuco",,"4149","estabelecimentos",1
"1","Estabelecimentos de Saúde","Alagoas",,"1476","estabelecimentos",1
"1","Estabelecimentos de Saúde","Sergipe",,"1115","estabelecimentos",1
"1","Estabelecimentos de Saúde","Bahia",,"8188","estabelecimentos",1
"1","Estabelecimentos de Saúde","Minas Gerais",,"12460","estabelecimentos",1
"1","Estabelecimentos de Saúde","Espírito Santo",,"2219","estabelecimentos",1
"1","Estabelecimentos de Saúde","Rio de Janeiro",,"6457","estabelecimentos",1
"1","Estabelecimentos de Saúde","São Paulo",,"14215","estabelecimentos",1
"1","Estabelecimentos de Saúde","Paraná",,"5779","estabelecimentos",1
"1","Estabelecimentos de Saúde","Santa Catarina",,"4470","estabelecimentos",1
"1","Estabelecimentos de Saúde","Rio Grande do Sul",,"5705","estabelecimentos",1
"1","Estabelecimentos de Saúde","Mato Grosso do Sul",,"1458","estabelecimentos",1
"1","Estabelecimentos de Saúde","Mato Grosso",,"2001","estabelecimentos",1
"1","Estabelecimentos de Saúde","Goiás",,"3011","estabelecimentos",1
"1","Estabelecimentos de Saúde","Distrito Federal",,"1756","estabelecimentos",1
"1.1","Atendimento de emergência","Rondônia",,"86","estabelecimentos",1
"1.1","Atendimento de emergência","Acre",,"21","estabelecimentos",1
"1.1","Atendimento de emergência","Amazonas",,"109","estabelecimentos",1
"1.1","Atendimento de emergência","Roraima",,"22","estabelecimentos",1
"1.1","Atendimento de emergência","Pará",,"260","estabelecimentos",1
"1.1","Atendimento de emergência","Amapá",,"23","estabelecimentos",1
"1.1","Atendimento de emergência","Tocantins",,"70","estabelecimentos",1
"1.1","Atendimento de emergência","Maranhão",,"273","estabelecimentos",1
"1.1","Atendimento de emergência","Piauí",,"109","estabelecimentos",1
"1.1","Atendimento de emergência","Ceará",,"188","estabelecimentos",1
"1.1","Atendimento de emergência","Rio Grande do Norte",,"121","estabelecimentos",1
"1.1","Atendimento de emergência","Paraíba",,"68","estabelecimentos",1
"1.1","Atendimento de emergência","Pernambuco",,"312","estabelecimentos",1
"1.1","Atendimento de emergência","Alagoas",,"93","estabelecimentos",1
"1.1","Atendimento de emergência","Sergipe",,"44","estabelecimentos",1
"1.1","Atendimento de emergência","Bahia",,"583","estabelecimentos",1
"1.1","Atendimento de emergência","Minas Gerais",,"769","estabelecimentos",1
"1.1","Atendimento de emergência","Espírito Santo",,"144","estabelecimentos",1
"1.1","Atendimento de emergência","Rio de Janeiro",,"559","estabelecimentos",1
"1.1","Atendimento de emergência","São Paulo",,"1240","estabelecimentos",1
"1.1","Atendimento de emergência","Paraná",,"535","estabelecimentos",1
"1.1","Atendimento de emergência","Santa Catarina",,"297","estabelecimentos",1
"1.1","Atendimento de emergência","Rio Grande do Sul",,"396","estabelecimentos",1
"1.1","Atendimento de emergência","Mato Grosso do Sul",,"108","estabelecimentos",1
"1.1","Atendimento de emergência","Mato Grosso",,"177","estabelecimentos",1
"1.1","Atendimento de emergência","Goiás",,"343","estabelecimentos",1
"1.1","Atendimento de emergência","Distrito Federal",,"45","estabelecimentos",1
"1.1.1","Especialidade médica",,,,"",""
"1.1.1.1","Cirurgia bucomaxilofacial","Rondônia",,"6","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Acre",,"4","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Amazonas",,"11","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Roraima",,"2","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Pará",,"15","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Amapá",,"2","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Tocantins",,"3","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Maranhão",,"13","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Piauí",,"9","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Ceará",,"12","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Rio Grande do Norte",,"11","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Paraíba",,"8","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Pernambuco",,"25","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Alagoas",,"7","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Sergipe",,"5","estabelecimentos",1
"1.1.1.1","Cirurgia bucomaxilofacial","Bahia",,"41","estabelecimentos",1
